unit,year,bribery_official_corruption,racial_profiling,conduct_unbecoming_off_duty,criminal_misconduct,false_arrest,operation_personnel_violations,excessive_force,domestic,use_of_force,money_property,supervisory_responsibilities,traffic,incident,illegal_search,medical,lockup_procedures,unknown,first_amendment,verbal_abuse,drug_alcohol_abuse
8,2011,0.00649350649350649351,0,0.00974025974025974026,0.00324675324675324675,0.05844155844155844156,0.31168831168831168831,0,0.02272727272727272727,0.30519480519480519481,0,0.00324675324675324675,0.04220779220779220779,0,0.1461038961038961039,0,0.06493506493506493506,0,0,0.02597402597402597403,0
20,2012,0.04255319148936170213,0,0.02127659574468085106,0,0.06382978723404255319,0.36170212765957446809,0,0.08510638297872340426,0.21276595744680851064,0,0.02127659574468085106,0.02127659574468085106,0,0.04255319148936170213,0,0.10638297872340425532,0,0,0,0.02127659574468085106
5,2004,0,0,0,0.01083032490974729242,0.04693140794223826715,0.36823104693140794224,0,0.02888086642599277978,0.25631768953068592058,0,0.06137184115523465704,0,0,0.05054151624548736462,0,0.12274368231046931408,0,0,0.05054151624548736462,0.00361010830324909747
15,2018,0,0,0,0,0.35714285714285714286,0.42857142857142857143,0,0.07142857142857142857,0.07142857142857142857,0,0,0,0,0.07142857142857142857,0,0,0,0,0,0
9,2014,0,0,0.01630434782608695652,0,0.17934782608695652174,0.39130434782608695652,0,0.01086956521739130435,0.16304347826086956522,0,0.01630434782608695652,0.01086956521739130435,0,0.13586956521739130435,0,0.07065217391304347826,0,0,0.00543478260869565217,0
24,2005,0,0,0,0.00543478260869565217,0.05434782608695652174,0.27717391304347826087,0,0.03804347826086956522,0.23913043478260869565,0,0.01630434782608695652,0.01086956521739130435,0,0.29891304347826086957,0,0.05434782608695652174,0,0,0,0.00543478260869565217
25,2008,0,0,0.00469483568075117371,0,0.07981220657276995305,0.31924882629107981221,0,0.04694835680751173709,0.17370892018779342723,0,0.00938967136150234742,0.04225352112676056338,0,0.22065727699530516432,0,0.07511737089201877934,0,0,0.02816901408450704225,0
25,2018,0,0,0.25,0,0.125,0.25,0,0,0.25,0,0,0,0,0,0,0.125,0,0,0,0
24,2006,0.00645161290322580645,0,0.0129032258064516129,0.00645161290322580645,0.07096774193548387097,0.32258064516129032258,0,0.03225806451612903226,0.22580645161290322581,0,0.0129032258064516129,0.04516129032258064516,0,0.20645161290322580645,0,0.05161290322580645161,0,0,0.00645161290322580645,0
11,2013,0,0,0.0569620253164556962,0.00632911392405063291,0.17088607594936708861,0.21202531645569620253,0,0.01582278481012658228,0.15189873417721518987,0,0,0.01898734177215189873,0,0.25632911392405063291,0,0.08860759493670886076,0,0,0.02215189873417721519,0
18,2004,0.00456621004566210046,0,0.01369863013698630137,0.00456621004566210046,0.05479452054794520548,0.40639269406392694064,0,0.05022831050228310502,0.1369863013698630137,0,0.05022831050228310502,0.03652968036529680365,0,0.09132420091324200913,0,0.07305936073059360731,0,0,0.05479452054794520548,0.02283105022831050228
17,2001,0.01104972375690607735,0,0.02762430939226519337,0,0.00552486187845303867,0.38121546961325966851,0,0.03867403314917127072,0.20994475138121546961,0,0.01104972375690607735,0.07182320441988950276,0,0.09392265193370165746,0,0.07182320441988950276,0,0,0.07182320441988950276,0.00552486187845303867
1,2009,0.07619047619047619048,0,0.04761904761904761905,0.01904761904761904762,0.06190476190476190476,0.37142857142857142857,0,0.03333333333333333333,0.2,0,0,0.02857142857142857143,0,0.08095238095238095238,0,0.06190476190476190476,0,0,0.0047619047619047619,0.01428571428571428571
10,2005,0,0,0.00598802395209580838,0,0.1077844311377245509,0.25748502994011976048,0,0.00598802395209580838,0.35928143712574850299,0,0.00598802395209580838,0.01197604790419161677,0,0.15568862275449101796,0,0.07784431137724550898,0,0,0.00598802395209580838,0.00598802395209580838
9,2016,0,0.01298701298701298701,0.06493506493506493506,0,0.03896103896103896104,0.32467532467532467532,0,0,0.22077922077922077922,0.1038961038961038961,0.01298701298701298701,0.03896103896103896104,0,0.03896103896103896104,0,0.07792207792207792208,0.03896103896103896104,0,0.01298701298701298701,0.01298701298701298701
16,2018,0,0,0.20833333333333333333,0,0,0.29166666666666666667,0,0.25,0.125,0,0,0.125,0,0,0,0,0,0,0,0
8,2017,0,0,0.0462962962962962963,0.00925925925925925926,0.07407407407407407407,0.47222222222222222222,0,0.07407407407407407407,0.12962962962962962963,0,0.02777777777777777778,0.00925925925925925926,0,0.08333333333333333333,0,0.03703703703703703704,0,0,0.00925925925925925926,0.02777777777777777778
9,2007,0.00283286118980169972,0,0.01133144475920679887,0.00849858356940509915,0.04532577903682719547,0.36260623229461756374,0,0.00566572237960339943,0.24929178470254957507,0,0.00566572237960339943,0.02549575070821529745,0,0.169971671388101983,0,0.0849858356940509915,0,0,0.02266288951841359773,0.00566572237960339943
12,2002,0.00203665987780040733,0,0.01832993890020366599,0.01221995926680244399,0.04073319755600814664,0.46843177189409368635,0,0.07128309572301425662,0.19144602851323828921,0,0.006109979633401222,0.03869653767820773931,0,0.05906313645621181263,0,0.006109979633401222,0,0,0.08553971486761710794,0
1,2014,0.00512820512820512821,0,0.06666666666666666667,0.01025641025641025641,0.06666666666666666667,0.42051282051282051282,0,0.01538461538461538462,0.09230769230769230769,0,0,0.05641025641025641026,0,0.10769230769230769231,0,0.14358974358974358974,0.01025641025641025641,0,0.00512820512820512821,0
25,2010,0.0042735042735042735,0,0.01709401709401709402,0,0.03418803418803418803,0.23076923076923076923,0,0.05555555555555555556,0.33760683760683760684,0,0.0042735042735042735,0.02136752136752136752,0,0.23504273504273504274,0,0.04273504273504273504,0,0,0.01709401709401709402,0
